FIPS,State,County,excessive_drinking
,,,
1000,Alabama,,15
1001,Alabama,Autauga,14
1003,Alabama,Baldwin,19
1005,Alabama,Barbour,12
1007,Alabama,Bibb,15
1009,Alabama,Blount,16
1011,Alabama,Bullock,12
1013,Alabama,Butler,13
1015,Alabama,Calhoun,14
1017,Alabama,Chambers,14
1019,Alabama,Cherokee,16
1021,Alabama,Chilton,15
1023,Alabama,Choctaw,14
1025,Alabama,Clarke,14
1027,Alabama,Clay,16
1029,Alabama,Cleburne,16
1031,Alabama,Coffee,16
1033,Alabama,Colbert,16
1035,Alabama,Conecuh,13
1037,Alabama,Coosa,14
1039,Alabama,Covington,15
1041,Alabama,Crenshaw,14
1043,Alabama,Cullman,15
1045,Alabama,Dale,16
1047,Alabama,Dallas,12
1049,Alabama,DeKalb,13
1051,Alabama,Elmore,15
1053,Alabama,Escambia,15
1055,Alabama,Etowah,15
1057,Alabama,Fayette,15
1059,Alabama,Franklin,15
1061,Alabama,Geneva,15
1063,Alabama,Greene,10
1065,Alabama,Hale,12
1067,Alabama,Henry,15
1069,Alabama,Houston,13
1071,Alabama,Jackson,15
1073,Alabama,Jefferson,17
1075,Alabama,Lamar,15
1077,Alabama,Lauderdale,16
1079,Alabama,Lawrence,15
1081,Alabama,Lee,17
1083,Alabama,Limestone,16
1085,Alabama,Lowndes,11
1087,Alabama,Macon,11
1089,Alabama,Madison,15
1091,Alabama,Marengo,13
1093,Alabama,Marion,15
1095,Alabama,Marshall,15
1097,Alabama,Mobile,17
1099,Alabama,Monroe,13
1101,Alabama,Montgomery,13
1103,Alabama,Morgan,14
1105,Alabama,Perry,11
1107,Alabama,Pickens,13
1109,Alabama,Pike,14
1111,Alabama,Randolph,14
1113,Alabama,Russell,14
1115,Alabama,St. Clair,15
1117,Alabama,Shelby,18
1119,Alabama,Sumter,11
1121,Alabama,Talladega,13
1123,Alabama,Tallapoosa,14
1125,Alabama,Tuscaloosa,15
1127,Alabama,Walker,14
1129,Alabama,Washington,14
1131,Alabama,Wilcox,11
1133,Alabama,Winston,16
2000,Alaska,,18
2013,Alaska,Aleutians East,15
2016,Alaska,Aleutians West,17
2020,Alaska,Anchorage,18
2050,Alaska,Bethel,17
2060,Alaska,Bristol Bay,21
2068,Alaska,Denali,20
2070,Alaska,Dillingham,19
2090,Alaska,Fairbanks North Star,19
2100,Alaska,Haines,22
2105,Alaska,Hoonah-Angoon,21
2110,Alaska,Juneau,21
